dag;prediktion;övre konfidensgräns
2020-03-10;3;6
2020-03-11;4;7
2020-03-12;4;9
2020-03-13;5;10
2020-03-14;6;11
2020-03-15;8;13
2020-03-16;9;15
2020-03-17;10;17
2020-03-18;12;19
2020-03-19;13;21
2020-03-20;15;23
2020-03-21;17;25
2020-03-22;19;27
2020-03-23;21;30
2020-03-24;23;32
2020-03-25;25;35
2020-03-26;27;37
2020-03-27;29;40
2020-03-28;32;43
2020-03-29;34;46
2020-03-30;37;49
2020-03-31;39;52
2020-04-01;42;55
2020-04-02;45;58
2020-04-03;47;61
2020-04-04;50;64
2020-04-05;53;67
2020-04-06;56;71
2020-04-07;58;74
2020-04-08;61;77
2020-04-09;63;79
2020-04-10;66;82
2020-04-11;68;85
2020-04-12;70;87
2020-04-13;72;89
2020-04-14;74;91
2020-04-15;76;93
2020-04-16;77;94
2020-04-17;78;95
2020-04-18;78;96
2020-04-19;79;97
2020-04-20;79;97
2020-04-21;79;97
2020-04-22;78;96
2020-04-23;78;95
2020-04-24;77;94
2020-04-25;76;93
2020-04-26;74;91
2020-04-27;73;90
2020-04-28;71;87
2020-04-29;69;85
2020-04-30;67;83
2020-05-01;64;80
2020-05-02;62;78
2020-05-03;60;75
2020-05-04;57;72
2020-05-05;55;70
2020-05-06;52;67
2020-05-07;50;64
2020-05-08;48;61
2020-05-09;45;59
2020-05-10;43;56
2020-05-11;41;54
2020-05-12;39;51
2020-05-13;37;49
2020-05-14;35;47
2020-05-15;33;44
2020-05-16;31;42
2020-05-17;30;40
2020-05-18;28;39
2020-05-19;27;37
2020-05-20;25;35
2020-05-21;24;34
2020-05-22;23;32
2020-05-23;22;31
2020-05-24;21;30
2020-05-25;20;29
2020-05-26;19;28
2020-05-27;18;27
2020-05-28;17;26
2020-05-29;17;25
2020-05-30;16;24
2020-05-31;15;23
2020-06-01;15;23
2020-06-02;14;22
2020-06-03;14;21
2020-06-04;13;21
2020-06-05;13;20
2020-06-06;13;20
2020-06-07;12;19
2020-06-08;12;19
2020-06-09;12;19
2020-06-10;12;18
2020-06-11;11;18
2020-06-12;11;18
2020-06-13;11;18
2020-06-14;11;17
2020-06-15;11;17
2020-06-16;10;17
2020-06-17;10;17
2020-06-18;10;17
2020-06-19;10;16
2020-06-20;10;16
2020-06-21;10;16
2020-06-22;10;16
2020-06-23;10;16
2020-06-24;10;16
2020-06-25;9;16
2020-06-26;9;16
2020-06-27;9;15
2020-06-28;9;15
2020-06-29;9;15
2020-06-30;9;15
2020-07-01;9;15
2020-07-02;9;15
2020-07-03;9;15
2020-07-04;9;15
2020-07-05;9;15
2020-07-06;9;15
2020-07-07;9;15
2020-07-08;9;15
2020-07-09;9;15
2020-07-10;9;15
2020-07-11;9;15
2020-07-12;9;15
2020-07-13;9;14
2020-07-14;9;14
2020-07-15;9;14
2020-07-16;9;14
2020-07-17;9;14
2020-07-18;8;14
2020-07-19;8;14
2020-07-20;8;14
2020-07-21;8;14
2020-07-22;8;14
2020-07-23;8;14
2020-07-24;8;14
2020-07-25;8;14
2020-07-26;8;14
2020-07-27;8;14
2020-07-28;8;14
2020-07-29;8;14
2020-07-30;8;14
2020-07-31;8;14
2020-08-01;8;14
2020-08-02;8;14
2020-08-03;8;14
2020-08-04;8;14
2020-08-05;8;14
2020-08-06;8;14
2020-08-07;8;14
2020-08-08;8;14
2020-08-09;8;14
2020-08-10;8;14
2020-08-11;8;14
2020-08-12;8;14
2020-08-13;8;14
2020-08-14;8;14
2020-08-15;8;14
2020-08-16;8;13
2020-08-17;8;13
2020-08-18;8;13
2020-08-19;8;13
2020-08-20;8;13
2020-08-21;8;13
2020-08-22;8;13
2020-08-23;8;13
2020-08-24;8;13
2020-08-25;8;13
2020-08-26;8;13
2020-08-27;8;13
2020-08-28;8;13
2020-08-29;8;13
2020-08-30;8;13
2020-08-31;8;13
2020-09-01;8;13
2020-09-02;8;13
2020-09-03;8;13
2020-09-04;8;13
2020-09-05;8;13
2020-09-06;8;13
2020-09-07;8;13
2020-09-08;7;13
2020-09-09;7;13
2020-09-10;7;13
2020-09-11;7;13
2020-09-12;7;13
2020-09-13;7;13
2020-09-14;7;13
2020-09-15;7;13
2020-09-16;7;13
2020-09-17;7;13
2020-09-18;7;13
2020-09-19;7;13
2020-09-20;7;13
2020-09-21;7;13
2020-09-22;7;13
2020-09-23;7;13
2020-09-24;7;13
2020-09-25;7;13
2020-09-26;7;13
2020-09-27;7;13
2020-09-28;7;13
2020-09-29;7;13
2020-09-30;7;13
2020-10-01;7;13
2020-10-02;7;13
2020-10-03;7;13
2020-10-04;7;13
2020-10-05;7;12
2020-10-06;7;12
2020-10-07;7;12
2020-10-08;7;12
2020-10-09;7;12
2020-10-10;7;12
2020-10-11;7;12
2020-10-12;7;12
2020-10-13;7;12
2020-10-14;7;12
2020-10-15;7;12
2020-10-16;7;12
2020-10-17;7;12
2020-10-18;7;12
2020-10-19;7;12
2020-10-20;7;12
2020-10-21;7;12
2020-10-22;7;12
2020-10-23;7;12
2020-10-24;7;12
2020-10-25;7;12
2020-10-26;7;12
2020-10-27;7;12
2020-10-28;7;12
2020-10-29;7;12
2020-10-30;7;12
2020-10-31;7;12
2020-11-01;7;12
2020-11-02;7;12
2020-11-03;7;12
2020-11-04;7;12
2020-11-05;7;12
2020-11-06;7;12
2020-11-07;7;12
2020-11-08;7;12
2020-11-09;7;12
2020-11-10;7;12
2020-11-11;7;12
2020-11-12;7;12
2020-11-13;7;12
2020-11-14;7;12
2020-11-15;7;12
2020-11-16;7;12
2020-11-17;7;12
2020-11-18;7;12
2020-11-19;7;12
2020-11-20;7;12
2020-11-21;7;12
2020-11-22;7;12
2020-11-23;7;12
2020-11-24;7;12
2020-11-25;7;12
2020-11-26;7;12
2020-11-27;7;12
2020-11-28;7;12
2020-11-29;7;12
2020-11-30;7;12
2020-12-01;7;12
2020-12-02;7;12
2020-12-03;7;12
2020-12-04;7;12
2020-12-05;7;12
2020-12-06;7;12
2020-12-07;7;12
2020-12-08;6;12
2020-12-09;6;12
2020-12-10;6;12
2020-12-11;6;12
2020-12-12;6;12
2020-12-13;6;12
2020-12-14;6;12
2020-12-15;6;12
2020-12-16;6;12
2020-12-17;6;11
2020-12-18;6;11
2020-12-19;6;11
2020-12-20;6;11
2020-12-21;6;11
2020-12-22;6;11
2020-12-23;6;11
2020-12-24;6;11
2020-12-25;6;11
2020-12-26;6;11
2020-12-27;6;11
2020-12-28;6;11
2020-12-29;6;11
2020-12-30;6;11
2020-12-31;6;11
2021-01-01;6;11
2021-01-02;6;11
2021-01-03;6;11
2021-01-04;6;11
2021-01-05;6;11
2021-01-06;6;11
2021-01-07;6;11
2021-01-08;6;11
2021-01-09;6;11
2021-01-10;6;11
2021-01-11;6;11
2021-01-12;6;11
2021-01-13;6;11
2021-01-14;6;11
2021-01-15;6;11
2021-01-16;6;11
2021-01-17;6;11
2021-01-18;6;11
2021-01-19;6;11
2021-01-20;6;11
2021-01-21;6;11
2021-01-22;6;11
2021-01-23;6;11
2021-01-24;6;11
2021-01-25;6;11
2021-01-26;6;11
2021-01-27;6;11
2021-01-28;6;11
2021-01-29;6;11
2021-01-30;6;11
2021-01-31;6;11
2021-02-01;6;11
2021-02-02;6;11
2021-02-03;6;11
2021-02-04;6;11
2021-02-05;6;11
2021-02-06;6;11
2021-02-07;6;11
2021-02-08;6;11
2021-02-09;6;11
2021-02-10;6;11
2021-02-11;6;11
2021-02-12;6;11
2021-02-13;6;11
2021-02-14;6;11
2021-02-15;6;11
2021-02-16;6;11
2021-02-17;6;11
2021-02-18;6;11
2021-02-19;6;11
2021-02-20;6;11
2021-02-21;6;11
2021-02-22;6;11
2021-02-23;6;11
2021-02-24;6;11
2021-02-25;6;11
2021-02-26;6;11
2021-02-27;6;11
2021-02-28;6;11
2021-03-01;6;11
2021-03-02;6;11
2021-03-03;6;11
2021-03-04;6;11
2021-03-05;6;11
2021-03-06;6;11
2021-03-07;6;11
2021-03-08;6;11
2021-03-09;6;11